# HOMER Peaks
# Peak finding parameters:
# tag directory = /home/q5gong/CSE185FinalProject/Figure_4e&f/data/tagdirs/NR5a2
#
# total peaks = 32235
# peak size = 134
# peaks found using tags on both strands
# minimum distance between peaks = 268
# fragment length = 122
# genome size = 2000000000
# Total tags = 12320924.0
# Total tags in peaks = 1164991.0
# Approximate IP efficiency = 9.46%
# tags per bp = 0.005291
# expected tags per peak = 0.709
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 8.447811e-07
# FDR tag threshold = 8.0
# number of putative peaks = 59162
#
# input tag directory = /home/q5gong/CSE185FinalProject/Figure_4e&f/data/tagdirs/input
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 23234
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 3687
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 6
#
# cmd = findPeaks /home/q5gong/CSE185FinalProject/Figure_4e&f/data/tagdirs/NR5a2 -i /home/q5gong/CSE185FinalProject/Figure_4e&f/data/tagdirs/input -style factor -o auto
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags (normalized to Control Experiment)	Control Tags	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr6-693	chr6	43608398	43608532	+	26.8	0.780	25.000000	27.9	3.0	9.29	3.90e-17	34.71	8.40e-39	1.01
chr6-545	chr6	50062914	50063048	+	26.8	0.809	30.000000	27.9	4.0	6.97	3.53e-14	23.36	2.61e-33	0.94
chr6-640	chr6	72410457	72410591	+	26.8	0.780	27.000000	27.9	3.0	9.29	3.90e-17	20.42	1.83e-31	0.98
chr6-593	chr6	94948502	94948636	+	26.8	0.644	29.000000	27.9	4.0	6.97	3.53e-14	6.77	5.21e-17	0.94
chr6-877	chr6	108659888	108660022	+	26.8	0.783	21.000000	27.9	4.0	6.97	3.53e-14	19.13	1.41e-30	1.21
chr6-713	chr6	112224444	112224578	+	26.8	0.878	25.000000	27.9	2.0	13.94	1.80e-21	21.31	4.73e-32	1.01
chr6-565	chr6	116369098	116369232	+	26.8	0.833	30.000000	27.9	0.5	55.76	4.15e-37	7.39	4.33e-18	0.85
chr6-624	chr6	117562074	117562208	+	26.8	0.745	28.000000	27.9	1.0	27.88	3.50e-29	10.21	3.28e-22	0.94
chr6-682	chr6	134808282	134808416	+	26.8	0.943	26.000000	27.9	0.5	55.76	4.15e-37	29.27	2.01e-36	0.98
chr7-692	chr7	4947686	4947820	+	26.8	0.872	28.000000	27.9	6.0	4.65	2.96e-10	31.15	2.77e-37	0.91
chr7-773	chr7	13551923	13552057	+	26.8	0.795	26.000000	27.9	6.0	4.65	2.96e-10	13.13	1.61e-25	1.01
chr7-662	chr7	13603713	13603847	+	26.8	0.800	29.000000	27.9	3.0	9.29	3.90e-17	28.58	4.30e-36	0.87
chr7-635	chr7	16687436	16687570	+	26.8	0.816	30.000000	27.9	6.0	4.65	2.96e-10	14.55	6.98e-27	0.87
chr7-734	chr7	17744491	17744625	+	26.8	0.872	27.000000	27.9	1.0	27.88	3.50e-29	27.00	2.66e-35	0.94
chr7-579	chr7	50835482	50835616	+	26.8	0.646	32.000000	27.9	0.5	55.76	4.15e-37	15.19	1.86e-27	0.85
chr7-640	chr7	51111239	51111373	+	26.8	0.736	30.000000	27.9	4.0	6.97	3.53e-14	22.09	1.53e-32	0.91
chr7-1059	chr7	51474413	51474547	+	26.8	0.902	20.000000	27.9	1.0	27.88	3.50e-29	16.09	3.10e-28	1.27
chr7-644	chr7	52987424	52987558	+	26.8	0.851	30.000000	27.9	3.0	9.29	3.90e-17	20.08	3.08e-31	0.87
chr7-823	chr7	54329235	54329369	+	26.8	0.872	25.000000	27.9	3.0	9.29	3.90e-17	26.13	7.53e-35	1.01
chr7-704	chr7	71098710	71098844	+	26.8	0.820	28.000000	27.9	2.0	13.94	1.80e-21	10.25	2.89e-22	0.98
chr7-854	chr7	75514671	75514805	+	26.8	0.971	24.000000	27.9	3.0	9.29	3.90e-17	25.85	1.06e-34	1.06
chr7-583	chr7	77944075	77944209	+	26.8	0.889	32.000000	27.9	1.0	27.88	3.50e-29	30.37	6.21e-37	0.87
chr7-672	chr7	80865506	80865640	+	26.8	0.761	29.000000	27.9	0.5	55.76	4.15e-37	20.77	1.07e-31	0.87
chr7-712	chr7	88405656	88405790	+	26.8	0.660	28.000000	27.9	1.0	27.88	3.50e-29	32.83	5.13e-38	0.91
chr7-791	chr7	91898331	91898465	+	26.8	0.812	26.000000	27.9	0.5	55.76	4.15e-37	48.59	1.66e-43	1.01
chr7-652	chr7	108241385	108241519	+	26.8	0.760	30.000000	27.9	5.0	5.58	5.60e-12	19.44	8.55e-31	0.91
chr7-793	chr7	112590099	112590233	+	26.8	0.745	26.000000	27.9	2.0	13.94	1.80e-21	23.59	1.92e-33	0.98
chr7-676	chr7	117792439	117792573	+	26.8	0.667	29.000000	27.9	4.0	6.97	3.53e-14	11.15	2.35e-23	0.91
chr7-801	chr7	125753604	125753738	+	26.8	0.872	26.000000	27.9	1.0	27.88	3.50e-29	17.35	2.95e-29	0.98
chr7-804	chr7	133929202	133929336	+	26.8	0.820	26.000000	27.9	1.0	27.88	3.50e-29	16.76	8.81e-29	0.98
chr7-630	chr7	140317083	140317217	+	26.8	0.673	31.000000	27.9	0.5	55.76	4.15e-37	12.15	1.74e-24	0.85
chr7-658	chr7	150506020	150506154	+	26.8	0.649	30.000000	27.9	3.0	9.29	3.90e-17	16.20	2.52e-28	0.91
chr7-936	chr7	152321542	152321676	+	26.8	0.917	23.000000	27.9	4.0	6.97	3.53e-14	28.92	2.95e-36	1.10
chr8-570	chr8	12284747	12284881	+	26.8	0.830	28.000000	27.9	4.0	6.97	3.53e-14	31.15	2.77e-37	0.94
chr8-483	chr8	13531012	13531146	+	26.8	0.765	32.000000	27.9	2.0	13.94	1.80e-21	19.44	8.55e-31	0.85
chr8-546	chr8	28109789	28109923	+	26.8	0.878	29.000000	27.9	5.0	5.58	5.60e-12	35.73	3.32e-39	0.91
chr8-660	chr8	46148689	46148823	+	26.8	0.596	25.000000	27.9	2.0	13.94	1.80e-21	29.27	2.01e-36	1.01
chr8-632	chr8	46729888	46730022	+	26.8	0.829	26.000000	27.9	1.0	27.88	3.50e-29	35.21	5.30e-39	0.98
chr8-550	chr8	59977741	59977875	+	26.8	0.727	29.000000	27.9	3.0	9.29	3.90e-17	21.13	6.23e-32	0.94
chr8-579	chr8	63882286	63882420	+	26.8	0.829	28.000000	27.9	1.0	27.88	3.50e-29	32.83	5.13e-38	0.98
chr8-553	chr8	73089713	73089847	+	26.8	0.783	29.000000	27.9	3.0	9.29	3.90e-17	13.42	8.27e-26	0.91
chr8-749	chr8	74075856	74075990	+	26.8	0.850	23.000000	27.9	0.5	55.76	4.15e-37	11.79	4.25e-24	1.10
chr8-555	chr8	87298640	87298774	+	26.8	0.786	29.000000	27.9	3.0	9.29	3.90e-17	12.99	2.24e-25	0.87
chr8-496	chr8	106960021	106960155	+	26.8	0.710	32.000000	27.9	4.0	6.97	3.53e-14	16.09	3.10e-28	0.85
chr8-480	chr8	123049730	123049864	+	26.8	0.870	33.000000	27.9	2.0	13.94	1.80e-21	17.23	3.69e-29	0.82
chr8-658	chr8	125716071	125716205	+	26.8	0.810	26.000000	27.9	0.5	55.76	4.15e-37	31.15	2.77e-37	0.98
chr8-625	chr8	129048599	129048733	+	26.8	0.720	27.000000	27.9	2.0	13.94	1.80e-21	5.93	2.14e-15	0.98
chr8-688	chr8	129418045	129418179	+	26.8	0.804	25.000000	27.9	3.0	9.29	3.90e-17	15.28	1.53e-27	1.06
chr9-554	chr9	20326375	20326509	+	26.8	0.691	31.000000	27.9	4.0	6.97	3.53e-14	15.98	3.81e-28	0.91
chr9-664	chr9	21552662	21552796	+	26.8	0.804	27.000000	27.9	3.0	9.29	3.90e-17	12.27	1.28e-24	1.01
chr9-607	chr9	21640755	21640889	+	26.8	0.695	29.000000	27.9	2.0	13.94	1.80e-21	11.57	7.61e-24	0.91
chr9-636	chr9	34234282	34234416	+	26.8	0.870	28.000000	27.9	1.0	27.88	3.50e-29	22.09	1.53e-32	0.94
chr9-496	chr9	34512710	34512844	+	26.8	0.889	33.000000	27.9	3.0	9.29	3.90e-17	25.31	2.06e-34	0.82
chr9-703	chr9	41995541	41995675	+	26.8	0.854	26.000000	27.9	5.0	5.58	5.60e-12	10.00	6.09e-22	1.01
chr9-584	chr9	51941287	51941421	+	26.8	0.895	30.000000	27.9	1.0	27.88	3.50e-29	40.49	5.95e-41	0.87
chr9-677	chr9	57229865	57229999	+	26.8	0.771	27.000000	27.9	3.0	9.29	3.90e-17	12.40	9.39e-25	0.98
chr9-616	chr9	61253099	61253233	+	26.8	0.805	29.000000	27.9	0.5	55.76	4.15e-37	21.69	2.71e-32	0.91
chr9-590	chr9	61660245	61660379	+	26.8	0.733	30.000000	27.9	4.0	6.97	3.53e-14	4.36	7.68e-12	0.94
chr9-646	chr9	65592184	65592318	+	26.8	0.714	28.000000	27.9	4.0	6.97	3.53e-14	24.79	3.97e-34	0.91
chr9-618	chr9	66262128	66262262	+	26.8	0.878	29.000000	27.9	0.5	55.76	4.15e-37	38.57	2.86e-40	0.94
chr9-682	chr9	67318169	67318303	+	26.8	0.842	27.000000	27.9	2.0	13.94	1.80e-21	33.28	3.22e-38	0.94
chr9-754	chr9	68604909	68605043	+	26.8	0.892	25.000000	27.9	5.0	5.58	5.60e-12	40.49	5.95e-41	1.01
chr9-758	chr9	72867847	72867981	+	26.8	0.782	25.000000	27.9	4.0	6.97	3.53e-14	11.52	8.79e-24	1.01
chr9-720	chr9	76375561	76375695	+	26.8	0.761	26.000000	27.9	0.5	55.76	4.15e-37	15.98	3.81e-28	0.98
chr9-596	chr9	83856217	83856351	+	26.8	0.851	30.000000	27.9	6.0	4.65	2.96e-10	32.40	7.89e-38	0.91
chr9-570	chr9	107365896	107366030	+	26.8	0.755	31.000000	27.9	3.0	9.29	3.90e-17	35.21	5.30e-39	0.87
chr9-627	chr9	110571356	110571490	+	26.8	0.636	29.000000	27.9	4.0	6.97	3.53e-14	13.65	4.95e-26	0.94
chr10-481	chr10	9608621	9608755	+	26.8	0.755	29.000000	27.9	3.0	9.29	3.90e-17	34.71	8.40e-39	0.91
chr10-504	chr10	15535613	15535747	+	26.8	0.767	28.000000	27.9	1.0	27.88	3.50e-29	46.72	5.90e-43	0.94
chr10-505	chr10	16714275	16714409	+	26.8	0.755	28.000000	27.9	4.0	6.97	3.53e-14	8.50	7.49e-20	0.91
chr10-456	chr10	19765682	19765816	+	26.8	0.880	30.000000	27.9	1.0	27.88	3.50e-29	10.34	2.24e-22	0.91
chr10-556	chr10	22418388	22418522	+	26.8	0.809	26.000000	27.9	1.0	27.88	3.50e-29	17.11	4.60e-29	1.01
chr10-557	chr10	27879622	27879756	+	26.8	0.850	26.000000	27.9	3.0	9.29	3.90e-17	29.27	2.01e-36	1.01
chr10-558	chr10	41988126	41988260	+	26.8	0.678	26.000000	27.9	6.0	4.65	2.96e-10	8.18	2.25e-19	0.98
chr10-707	chr10	62730812	62730946	+	26.8	0.972	22.000000	27.9	2.0	13.94	1.80e-21	37.96	4.74e-40	1.15
chr10-491	chr10	74827319	74827453	+	26.8	0.635	29.000000	27.9	5.0	5.58	5.60e-12	32.40	7.89e-38	0.91
chr10-520	chr10	83087690	83087824	+	26.8	0.678	28.000000	27.9	4.0	6.97	3.53e-14	5.47	1.90e-14	0.94
chr10-497	chr10	91415944	91416078	+	26.8	0.878	29.000000	27.9	1.0	27.88	3.50e-29	28.92	2.95e-36	0.87
chr10-524	chr10	93110789	93110923	+	26.8	0.761	28.000000	27.9	4.0	6.97	3.53e-14	20.25	2.37e-31	0.91
chr10-544	chr10	118241817	118241951	+	26.8	0.745	27.000000	27.9	2.0	13.94	1.80e-21	9.31	5.09e-21	0.94
chr10-452	chr10	118609188	118609322	+	26.8	0.972	31.000000	27.9	1.0	27.88	3.50e-29	26.13	7.53e-35	0.85
chr10-547	chr10	124927456	124927590	+	26.8	0.619	27.000000	27.9	0.5	55.76	4.15e-37	19.59	6.65e-31	0.94
chr11-863	chr11	4128469	4128603	+	26.8	0.776	28.000000	27.9	3.0	9.29	3.90e-17	27.30	1.86e-35	0.91
chr11-867	chr11	11748904	11749038	+	26.8	0.792	28.000000	27.9	1.0	27.88	3.50e-29	8.10	3.02e-19	0.94
chr11-828	chr11	20979490	20979624	+	26.8	0.854	29.000000	27.9	3.0	9.29	3.90e-17	17.87	1.20e-29	0.91
chr11-976	chr11	21078463	21078597	+	26.8	0.723	26.000000	27.9	3.0	9.29	3.90e-17	25.58	1.48e-34	0.98
chr11-1024	chr11	24271666	24271800	+	26.8	0.759	25.000000	27.9	2.0	13.94	1.80e-21	18.13	7.53e-30	1.06
chr11-730	chr11	28543144	28543278	+	26.8	0.706	32.000000	27.9	0.5	55.76	4.15e-37	18.98	1.80e-30	0.82
chr11-981	chr11	53602858	53602992	+	26.8	0.878	26.000000	27.9	2.0	13.94	1.80e-21	6.51	1.53e-16	0.98
chr11-881	chr11	57440975	57441109	+	26.8	0.921	28.000000	27.9	2.0	13.94	1.80e-21	35.73	3.32e-39	0.94
chr11-884	chr11	58428198	58428332	+	26.8	0.902	28.000000	27.9	1.0	27.88	3.50e-29	28.58	4.30e-36	0.98
chr11-984	chr11	59449685	59449819	+	26.8	0.760	26.000000	27.9	3.0	9.29	3.90e-17	9.42	3.61e-21	0.98
chr11-802	chr11	59607271	59607405	+	26.8	0.860	30.000000	27.9	2.0	13.94	1.80e-21	23.36	2.61e-33	0.94
chr11-886	chr11	61744557	61744691	+	26.8	0.804	28.000000	27.9	4.0	6.97	3.53e-14	23.36	2.61e-33	0.91
chr11-836	chr11	63728318	63728452	+	26.8	0.717	29.000000	27.9	4.0	6.97	3.53e-14	12.92	2.64e-25	0.91
chr11-837	chr11	63839542	63839676	+	26.8	0.771	29.000000	27.9	5.0	5.58	5.60e-12	23.14	3.53e-33	0.91
chr11-803	chr11	68667322	68667456	+	26.8	0.812	30.000000	27.9	3.0	9.29	3.90e-17	14.55	6.98e-27	0.87
chr11-891	chr11	69496400	69496534	+	26.8	0.833	28.000000	27.9	1.0	27.88	3.50e-29	11.15	2.35e-23	0.91
chr11-1096	chr11	70254253	70254387	+	26.8	0.804	24.000000	27.9	2.0	13.94	1.80e-21	12.33	1.10e-24	1.06
chr11-892	chr11	72219349	72219483	+	26.8	0.694	28.000000	27.9	3.0	9.29	3.90e-17	14.82	3.99e-27	0.91
chr11-992	chr11	74337621	74337755	+	26.8	0.704	26.000000	27.9	4.0	6.97	3.53e-14	5.78	4.15e-15	1.01
chr11-894	chr11	74680748	74680882	+	26.8	0.750	28.000000	27.9	6.0	4.65	2.96e-10	16.09	3.10e-28	0.98
chr11-806	chr11	74960843	74960977	+	26.8	0.780	30.000000	27.9	1.0	27.88	3.50e-29	25.58	1.48e-34	0.87
chr11-896	chr11	76343455	76343589	+	26.8	0.900	28.000000	27.9	2.0	13.94	1.80e-21	25.58	1.48e-34	0.91
chr11-808	chr11	78645384	78645518	+	26.8	0.865	30.000000	27.9	0.5	55.76	4.15e-37	12.15	1.74e-24	0.85
chr11-1043	chr11	79997169	79997303	+	26.8	0.919	25.000000	27.9	5.0	5.58	5.60e-12	26.41	5.34e-35	1.01
chr11-941	chr11	80421219	80421353	+	26.8	0.791	27.000000	27.9	5.0	5.58	5.60e-12	31.15	2.77e-37	0.94
chr11-997	chr11	88710773	88710907	+	26.8	0.884	26.000000	27.9	6.0	4.65	2.96e-10	16.64	1.09e-28	1.06
chr11-780	chr11	94021817	94021951	+	26.8	0.685	31.000000	27.9	2.0	13.94	1.80e-21	4.08	4.30e-11	0.87
chr11-1057	chr11	96692284	96692418	+	26.8	0.830	25.000000	27.9	1.0	27.88	3.50e-29	4.26	1.45e-11	1.01
chr11-1004	chr11	100678219	100678353	+	26.8	0.809	26.000000	27.9	5.0	5.58	5.60e-12	20.25	2.37e-31	1.01
chr11-908	chr11	107110214	107110348	+	26.8	0.745	28.000000	27.9	2.0	13.94	1.80e-21	27.00	2.66e-35	0.91
chr11-1065	chr11	108700553	108700687	+	26.8	0.830	25.000000	27.9	2.0	13.94	1.80e-21	16.31	2.05e-28	1.06
chr11-909	chr11	109356362	109356496	+	26.8	0.700	28.000000	27.9	3.0	9.29	3.90e-17	10.56	1.18e-22	0.98
chr11-956	chr11	110060292	110060426	+	26.8	0.905	27.000000	27.9	0.5	55.76	4.15e-37	60.74	1.21e-46	1.01
chr11-964	chr11	118117818	118117952	+	26.8	0.783	27.000000	27.9	0.5	55.76	4.15e-37	9.96	6.89e-22	0.98
chr12-479	chr12	21166526	21166660	+	26.8	0.787	27.000000	27.9	3.0	9.29	3.90e-17	22.09	1.53e-32	0.98
chr12-522	chr12	38072410	38072544	+	26.8	0.917	25.000000	27.9	3.0	9.29	3.90e-17	41.89	2.00e-41	1.01
chr12-499	chr12	43942715	43942849	+	26.8	0.946	26.000000	27.9	0.5	55.76	4.15e-37	56.50	1.26e-45	0.98
chr12-399	chr12	59005798	59005932	+	26.8	0.804	31.000000	27.9	1.0	27.88	3.50e-29	65.67	9.58e-48	0.87
chr12-414	chr12	59646976	59647110	+	26.8	0.944	30.000000	27.9	2.0	13.94	1.80e-21	78.38	3.03e-50	0.85
chr12-435	chr12	70891204	70891338	+	26.8	0.796	29.000000	27.9	3.0	9.29	3.90e-17	21.89	2.04e-32	0.94
chr12-417	chr12	74192072	74192206	+	26.8	0.815	30.000000	27.9	5.0	5.58	5.60e-12	39.83	1.01e-40	0.87
chr12-527	chr12	79763669	79763803	+	26.8	0.917	25.000000	27.9	0.5	55.76	4.15e-37	69.42	1.57e-48	1.01
chr12-468	chr12	99958934	99959068	+	26.8	0.897	28.000000	27.9	1.0	27.88	3.50e-29	9.53	2.55e-21	0.94
chr12-442	chr12	103089649	103089783	+	26.8	0.844	29.000000	27.9	4.0	6.97	3.53e-14	41.89	2.00e-41	0.91
chr13-414	chr13	24898056	24898190	+	26.8	0.921	28.000000	27.9	2.0	13.94	1.80e-21	23.14	3.53e-33	0.91
chr13-415	chr13	41331354	41331488	+	26.8	0.925	28.000000	27.9	5.0	5.58	5.60e-12	11.41	1.17e-23	0.91
chr13-365	chr13	41482165	41482299	+	26.8	0.800	31.000000	27.9	1.0	27.88	3.50e-29	33.75	2.07e-38	0.85
chr13-444	chr13	41795341	41795475	+	26.8	0.810	27.000000	27.9	2.0	13.94	1.80e-21	24.06	1.03e-33	0.98
chr13-378	chr13	43388460	43388594	+	26.8	0.783	30.000000	27.9	3.0	9.29	3.90e-17	22.29	1.15e-32	0.87
chr13-450	chr13	59569098	59569232	+	26.8	0.842	27.000000	27.9	1.0	27.88	3.50e-29	35.21	5.30e-39	0.94
chr13-556	chr13	60837684	60837818	+	26.8	0.841	23.000000	27.9	5.0	5.58	5.60e-12	27.00	2.66e-35	1.15
chr13-451	chr13	63240220	63240354	+	26.8	0.846	27.000000	27.9	2.0	13.94	1.80e-21	13.28	1.16e-25	0.94
chr13-527	chr13	75865986	75866120	+	26.8	0.872	24.000000	27.9	0.5	55.76	4.15e-37	48.59	1.66e-43	1.06
chr13-470	chr13	84374945	84375079	+	26.8	0.919	26.000000	27.9	0.5	55.76	4.15e-37	19.28	1.10e-30	1.01
chr13-431	chr13	91363250	91363384	+	26.8	0.800	28.000000	27.9	3.0	9.29	3.90e-17	31.15	2.77e-37	0.94
chr13-454	chr13	96639701	96639835	+	26.8	0.786	27.000000	27.9	1.0	27.88	3.50e-29	22.92	4.76e-33	0.98
chr13-433	chr13	98971656	98971790	+	26.8	0.755	28.000000	27.9	1.0	27.88	3.50e-29	15.78	5.71e-28	0.94
chr13-386	chr13	99812720	99812854	+	26.8	0.764	30.000000	27.9	3.0	9.29	3.90e-17	15.48	1.04e-27	0.85
chr13-506	chr13	109238685	109238819	+	26.8	0.661	25.000000	27.9	3.0	9.29	3.90e-17	13.13	1.61e-25	1.06
chr13-479	chr13	110783518	110783652	+	26.8	0.655	26.000000	27.9	1.0	27.88	3.50e-29	8.02	4.03e-19	1.01
chr13-407	chr13	110805926	110806060	+	26.8	0.822	29.000000	27.9	0.5	55.76	4.15e-37	14.21	1.45e-26	0.87
chr13-434	chr13	115628917	115629051	+	26.8	0.792	28.000000	27.9	2.0	13.94	1.80e-21	27.30	1.86e-35	0.94
chr14-406	chr14	23264872	23265006	+	26.8	0.812	27.000000	27.9	0.5	55.76	4.15e-37	26.41	5.34e-35	0.98
chr14-485	chr14	26271315	26271449	+	26.8	0.782	23.000000	27.9	5.0	5.58	5.60e-12	9.96	6.89e-22	1.15
chr14-356	chr14	26296152	26296286	+	26.8	0.750	30.000000	27.9	5.0	5.58	5.60e-12	8.56	6.10e-20	0.87
chr14-387	chr14	31941497	31941631	+	26.8	0.691	28.000000	27.9	2.0	13.94	1.80e-21	19.92	3.99e-31	0.91
chr14-442	chr14	32199295	32199429	+	26.8	0.787	25.000000	27.9	4.0	6.97	3.53e-14	22.50	8.59e-33	1.06
chr14-429	chr14	55081158	55081292	+	26.8	0.947	26.000000	27.9	2.0	13.94	1.80e-21	32.40	7.89e-38	0.98
chr14-394	chr14	58239583	58239717	+	26.8	0.884	28.000000	27.9	5.0	5.58	5.60e-12	34.71	8.40e-39	0.94
chr14-412	chr14	63874937	63875071	+	26.8	0.860	27.000000	27.9	3.0	9.29	3.90e-17	11.91	3.17e-24	0.98
chr14-361	chr14	70788285	70788419	+	26.8	0.857	30.000000	27.9	2.0	13.94	1.80e-21	5.69	6.54e-15	0.87
chr14-400	chr14	79483538	79483672	+	26.8	0.891	28.000000	27.9	1.0	27.88	3.50e-29	37.96	4.74e-40	0.91
chr14-416	chr14	94017337	94017471	+	26.8	0.919	27.000000	27.9	2.0	13.94	1.80e-21	73.63	2.32e-49	0.94
chr14-402	chr14	120676387	120676521	+	26.8	0.818	28.000000	27.9	3.0	9.29	3.90e-17	7.59	1.95e-18	0.94
chr15-495	chr15	3197644	3197778	+	26.8	0.812	28.000000	27.9	2.0	13.94	1.80e-21	26.70	3.77e-35	0.94
chr15-411	chr15	7079984	7080118	+	26.8	0.887	32.000000	27.9	1.0	27.88	3.50e-29	6.60	1.05e-16	0.85
chr15-497	chr15	9000211	9000345	+	26.8	0.818	28.000000	27.9	0.5	55.76	4.15e-37	18.41	4.71e-30	0.94
chr15-501	chr15	54875290	54875424	+	26.8	0.830	28.000000	27.9	2.0	13.94	1.80e-21	30.37	6.21e-37	1.06
chr15-502	chr15	57717284	57717418	+	26.8	0.837	28.000000	27.9	1.0	27.88	3.50e-29	19.28	1.10e-30	0.94
chr15-574	chr15	58879033	58879167	+	26.8	0.804	25.000000	27.9	2.0	13.94	1.80e-21	6.88	3.23e-17	1.06
chr15-538	chr15	61140628	61140762	+	26.8	0.765	27.000000	27.9	0.5	55.76	4.15e-37	48.59	1.66e-43	0.98
chr15-504	chr15	63553417	63553551	+	26.8	0.844	28.000000	27.9	4.0	6.97	3.53e-14	45.84	1.09e-42	1.01
chr15-487	chr15	77780011	77780145	+	26.8	0.811	29.000000	27.9	3.0	9.29	3.90e-17	16.87	7.10e-29	0.91
chr15-541	chr15	78863232	78863366	+	26.8	0.810	27.000000	27.9	3.0	9.29	3.90e-17	7.34	5.16e-18	1.01
chr15-509	chr15	79731263	79731397	+	26.8	0.745	28.000000	27.9	2.0	13.94	1.80e-21	11.30	1.55e-23	0.98
chr15-423	chr15	80086390	80086524	+	26.8	0.774	32.000000	27.9	5.0	5.58	5.60e-12	6.29	4.00e-16	0.82
chr15-468	chr15	85553278	85553412	+	26.8	0.714	30.000000	27.9	1.0	27.88	3.50e-29	6.09	1.01e-15	0.87
chr15-469	chr15	85860192	85860326	+	26.8	0.650	30.000000	27.9	5.0	5.58	5.60e-12	5.03	1.83e-13	0.87
chr15-406	chr15	93349041	93349175	+	26.8	0.692	33.000000	27.9	2.0	13.94	1.80e-21	10.12	4.21e-22	0.85
chr15-472	chr15	95640875	95641009	+	26.8	0.641	30.000000	27.9	2.0	13.94	1.80e-21	20.08	3.08e-31	0.91
chr15-594	chr15	99082673	99082807	+	26.8	0.783	25.000000	27.9	3.0	9.29	3.90e-17	17.11	4.60e-29	1.06
chr15-452	chr15	102349187	102349321	+	26.8	0.848	31.000000	27.9	5.0	5.58	5.60e-12	13.57	5.88e-26	0.85
chr16-334	chr16	4263708	4263842	+	26.8	0.778	26.000000	27.9	2.0	13.94	1.80e-21	25.85	1.06e-34	0.98
chr16-399	chr16	4675742	4675876	+	26.8	0.837	23.000000	27.9	3.0	9.29	3.90e-17	21.89	2.04e-32	1.10
chr16-307	chr16	10328158	10328292	+	26.8	0.804	28.000000	27.9	4.0	6.97	3.53e-14	16.53	1.35e-28	0.91
chr16-300	chr16	16584866	16585000	+	26.8	0.841	29.000000	27.9	3.0	9.29	3.90e-17	36.81	1.27e-39	0.87
chr16-310	chr16	18343838	18343972	+	26.8	0.755	28.000000	27.9	4.0	6.97	3.53e-14	8.26	1.68e-19	0.94
chr16-311	chr16	18426360	18426494	+	26.8	0.673	28.000000	27.9	6.0	4.65	2.96e-10	18.00	9.50e-30	0.91
chr16-278	chr16	30518107	30518241	+	26.8	0.764	31.000000	27.9	1.0	27.88	3.50e-29	4.90	3.71e-13	0.87
chr16-328	chr16	33063516	33063650	+	26.8	0.772	27.000000	27.9	2.0	13.94	1.80e-21	17.73	1.50e-29	0.98
chr16-350	chr16	46849803	46849937	+	26.8	0.833	26.000000	27.9	1.0	27.88	3.50e-29	36.26	2.06e-39	0.98
chr16-294	chr16	69825000	69825134	+	26.8	0.766	30.000000	27.9	0.5	55.76	4.15e-37	43.39	6.44e-42	0.87
chr16-317	chr16	77460028	77460162	+	26.8	0.921	28.000000	27.9	0.5	55.76	4.15e-37	46.72	5.90e-43	0.98
chr16-268	chr16	92478847	92478981	+	26.8	0.875	32.000000	27.9	4.0	6.97	3.53e-14	30.37	6.21e-37	0.82
chr17-615	chr17	26330012	26330146	+	26.8	0.727	21.000000	27.9	1.0	27.88	3.50e-29	6.62	9.70e-17	1.21
chr17-421	chr17	26338403	26338537	+	26.8	0.684	28.000000	27.9	2.0	13.94	1.80e-21	4.32	9.66e-12	0.98
chr17-376	chr17	35201879	35202013	+	26.8	0.576	31.000000	27.9	4.0	6.97	3.53e-14	16.31	2.05e-28	0.85
chr17-555	chr17	35876700	35876834	+	26.8	0.833	23.000000	27.9	3.0	9.29	3.90e-17	15.88	4.66e-28	1.10
chr17-410	chr17	43118888	43119022	+	26.8	0.800	29.000000	27.9	4.0	6.97	3.53e-14	30.76	4.16e-37	0.91
chr17-452	chr17	43229688	43229822	+	26.8	0.837	27.000000	27.9	0.5	55.76	4.15e-37	30.00	9.24e-37	1.01
chr17-377	chr17	44242390	44242524	+	26.8	0.800	31.000000	27.9	5.0	5.58	5.60e-12	30.00	9.24e-37	0.85
chr17-526	chr17	45887853	45887987	+	26.8	0.900	24.000000	27.9	2.0	13.94	1.80e-21	13.28	1.16e-25	1.06
chr17-413	chr17	46276504	46276638	+	26.8	0.745	29.000000	27.9	5.0	5.58	5.60e-12	6.55	1.32e-16	0.94
chr17-427	chr17	46622810	46622944	+	26.8	0.974	28.000000	27.9	4.0	6.97	3.53e-14	38.57	2.86e-40	0.91
chr17-467	chr17	56145087	56145221	+	26.8	0.808	26.000000	27.9	1.0	27.88	3.50e-29	12.15	1.74e-24	1.01
